|F| is smaller than |a|	smaller(f,a)
|A| is to the left of x	leftof(a,x)
|F| is larger than |e|	larger(f,e)
|E| likes |f|	likes(e,f)
|D| is to the left of x	leftof(d,x)
|C| adjoins |b|	adjoins(c,b)
|D| and X. both are in the same column	samecol(d,x)
|D| and X. are both in the same column	samecol(d,x)
|D| and x both are in the same column	samecol(d,x)
|D| and X. are in the same column	samecol(d,x)
|D| and x are both in the same column	samecol(d,x)
Both |d| and x are in the same column	samecol(d,x)
Both |d| and X. are in the same column	samecol(d,x)
|D| and x are in the same column	samecol(d,x)
Both |d| and x are in the same column	samecol(d,x)
Both |d| and X. are in the same column	samecol(d,x)
|D| is in the same column as x	samecol(d,x)
|C| is to the left of x	leftof(c,x)
X is to the right of |f|	rightof(x,f)
X. is to the right of |f|	rightof(x,f)
Y. is in back of |c|	backof(y,c)
Y is in back of |c|	backof(y,c)
|C| and |c| both are the same size	samesize(c,c)
Both |c| and |c| are the same size	samesize(c,c)
|C| and |c| are the same size	samesize(c,c)
|C| is the same size as |c|	samesize(c,c)
Both |c| and |c| are the same size	samesize(c,c)
|C| and |c| are both the same size	samesize(c,c)
|D| is in front of y	frontof(d,y)
|A| likes |c|	likes(a,c)
Both |f| and |d| are the same shape	sameshape(f,d)
|F| and |d| both are the same shape	sameshape(f,d)
|F| and |d| are both the same shape	sameshape(f,d)
|F| is the same shape as |d|	sameshape(f,d)
Both |f| and |d| are the same shape	sameshape(f,d)
|F| and |d| are the same shape	sameshape(f,d)
|D| is medium	medium(d)
|C| and X. are in the same column	samecol(c,x)
Both |c| and x are in the same column	samecol(c,x)
|C| and X. are both in the same column	samecol(c,x)
|C| and x are in the same column	samecol(c,x)
Both |c| and X. are in the same column	samecol(c,x)
Both |c| and x are in the same column	samecol(c,x)
|C| and x both are in the same column	samecol(c,x)
Both |c| and X. are in the same column	samecol(c,x)
|C| is in the same column as x	samecol(c,x)
|C| and x are both in the same column	samecol(c,x)
|C| and X. both are in the same column	samecol(c,x)
X. is larger than |d|	larger(x,d)
X is larger than |d|	larger(x,d)
Both |c| and |e| are in the same row	samerow(c,e)
|C| is in the same row as |e|	samerow(c,e)
|C| and |e| both are in the same row	samerow(c,e)
|C| and |e| are both in the same row	samerow(c,e)
Both |c| and |e| are in the same row	samerow(c,e)
|C| and |e| are in the same row	samerow(c,e)
Y	larger(y,x)
Y. is larger than x	larger(y,x)
Y is larger than x	larger(y,x)
Both z and |d| are in the same column	samecol(z,d)
Z. and |d| both are in the same column	samecol(z,d)
Z. and |d| are both in the same column	samecol(z,d)
Z and |d| are in the same column	samecol(z,d)
Both z and |d| are in the same column	samecol(z,d)
Both Z. and |d| are in the same column	samecol(z,d)
Z. and |d| are in the same column	samecol(z,d)
Z is in the same column as |d|	samecol(z,d)
Z and |d| both are in the same column	samecol(z,d)
Both Z. and |d| are in the same column	samecol(z,d)
Z. is in the same column as |d|	samecol(z,d)
Z and |d| are both in the same column	samecol(z,d)
|A| is the same shape as |b|	sameshape(a,b)
|A| and |b| both are the same shape	sameshape(a,b)
Both |a| and |b| are the same shape	sameshape(a,b)
Both |a| and |b| are the same shape	sameshape(a,b)
|A| and |b| are both the same shape	sameshape(a,b)
|A| and |b| are the same shape	sameshape(a,b)
|E| is to the right of y	rightof(e,y)
Z. is larger than |d|	larger(z,d)
Z is larger than |d|	larger(z,d)
X. is to the left of y	leftof(x,y)
X is to the left of y	leftof(x,y)
|D| is larger than |f|	larger(d,f)
|E| is in front of |e|	frontof(e,e)
Z. is in back of x	backof(z,x)
